feature,importance,fold
CNT_CHILDREN,2289.738109588623,1
AMT_INCOME_TOTAL,19018.15788269043,1
AMT_CREDIT,103272.84825897217,1
AMT_ANNUITY,85164.68851089478,1
AMT_GOODS_PRICE,82363.40023994446,1
REGION_POPULATION_RELATIVE,36866.28056526184,1
DAYS_BIRTH,88501.35881233215,1
DAYS_EMPLOYED,97052.97838401794,1
DAYS_REGISTRATION,46131.65416431427,1
DAYS_ID_PUBLISH,66652.57215690613,1
OWN_CAR_AGE,35966.77239608765,1
FLAG_MOBIL,0.0,1
FLAG_EMP_PHONE,555.8720092773438,1
FLAG_WORK_PHONE,4752.059922218323,1
FLAG_CONT_MOBILE,0.0,1
FLAG_PHONE,3497.4510135650635,1
FLAG_EMAIL,527.7294044494629,1
CNT_FAM_MEMBERS,5071.398313522339,1
REGION_RATING_CLIENT,7739.739395141602,1
REGION_RATING_CLIENT_W_CITY,22037.909078598022,1
HOUR_APPR_PROCESS_START,13399.115173339844,1
REG_REGION_NOT_LIVE_REGION,643.4602012634277,1
REG_REGION_NOT_WORK_REGION,229.1345977783203,1
LIVE_REGION_NOT_WORK_REGION,359.79630279541016,1
REG_CITY_NOT_LIVE_CITY,7793.67866897583,1
REG_CITY_NOT_WORK_CITY,553.7090950012207,1
LIVE_CITY_NOT_WORK_CITY,772.2249031066895,1
EXT_SOURCE_1,216915.7935886383,1
EXT_SOURCE_2,655507.8725166321,1
EXT_SOURCE_3,717464.892206192,1
APARTMENTS_AVG,6649.089882850647,1
BASEMENTAREA_AVG,6513.556106567383,1
YEARS_BEGINEXPLUATATION_AVG,8532.095268249512,1
YEARS_BUILD_AVG,5458.938087463379,1
COMMONAREA_AVG,6868.793605804443,1
ELEVATORS_AVG,3803.526298522949,1
ENTRANCES_AVG,4871.014711380005,1
FLOORSMAX_AVG,9155.697774887085,1
FLOORSMIN_AVG,4664.86416053772,1
LANDAREA_AVG,9188.75006866455,1
LIVINGAPARTMENTS_AVG,5237.835113525391,1
LIVINGAREA_AVG,11603.579681396484,1
NONLIVINGAPARTMENTS_AVG,3086.939498901367,1
NONLIVINGAREA_AVG,10220.420963287354,1
APARTMENTS_MODE,8124.371170043945,1
BASEMENTAREA_MODE,7414.604379653931,1
YEARS_BEGINEXPLUATATION_MODE,11779.329570770264,1
YEARS_BUILD_MODE,5826.95658493042,1
COMMONAREA_MODE,5360.913084030151,1
ELEVATORS_MODE,1195.7992916107178,1
ENTRANCES_MODE,2586.121103286743,1
FLOORSMAX_MODE,1944.0716934204102,1
FLOORSMIN_MODE,1002.8860015869141,1
LANDAREA_MODE,7781.721990585327,1
LIVINGAPARTMENTS_MODE,6532.732084274292,1
LIVINGAREA_MODE,10181.437881469727,1
NONLIVINGAPARTMENTS_MODE,2970.6620864868164,1
NONLIVINGAREA_MODE,7815.85068321228,1
APARTMENTS_MEDI,5721.954820632935,1
BASEMENTAREA_MEDI,6183.743576049805,1
YEARS_BEGINEXPLUATATION_MEDI,6226.236797332764,1
YEARS_BUILD_MEDI,3200.231491088867,1
COMMONAREA_MEDI,5627.727420806885,1
ELEVATORS_MEDI,1651.1233024597168,1
ENTRANCES_MEDI,2662.205799102783,1
FLOORSMAX_MEDI,3909.06742477417,1
FLOORSMIN_MEDI,1376.7131881713867,1
LANDAREA_MEDI,4885.544282913208,1
LIVINGAPARTMENTS_MEDI,4189.256013870239,1
LIVINGAREA_MEDI,9847.70696258545,1
NONLIVINGAPARTMENTS_MEDI,1238.4645919799805,1
NONLIVINGAREA_MEDI,7473.249391555786,1
TOTALAREA_MODE,14963.107368469238,1
OBS_30_CNT_SOCIAL_CIRCLE,5489.266324996948,1
DEF_30_CNT_SOCIAL_CIRCLE,10559.01471710205,1
OBS_60_CNT_SOCIAL_CIRCLE,6328.519506454468,1
DEF_60_CNT_SOCIAL_CIRCLE,11377.251174926758,1
DAYS_LAST_PHONE_CHANGE,49776.597204208374,1
FLAG_DOCUMENT_2,0.0,1
FLAG_DOCUMENT_3,23182.399995803833,1
FLAG_DOCUMENT_4,0.0,1
FLAG_DOCUMENT_5,46.98210144042969,1
FLAG_DOCUMENT_6,737.436689376831,1
FLAG_DOCUMENT_7,0.0,1
FLAG_DOCUMENT_8,962.867603302002,1
FLAG_DOCUMENT_9,0.0,1
FLAG_DOCUMENT_10,0.0,1
FLAG_DOCUMENT_11,1509.58882522583,1
FLAG_DOCUMENT_12,0.0,1
FLAG_DOCUMENT_13,2047.137996673584,1
FLAG_DOCUMENT_14,0.0,1
FLAG_DOCUMENT_15,969.9735012054443,1
FLAG_DOCUMENT_16,2744.67569732666,1
FLAG_DOCUMENT_17,0.0,1
FLAG_DOCUMENT_18,3333.372730255127,1
FLAG_DOCUMENT_19,0.0,1
FLAG_DOCUMENT_20,0.0,1
FLAG_DOCUMENT_21,0.0,1
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,1
AMT_REQ_CREDIT_BUREAU_DAY,438.46490478515625,1
AMT_REQ_CREDIT_BUREAU_WEEK,1342.2821922302246,1
AMT_REQ_CREDIT_BUREAU_MON,3537.7860794067383,1
AMT_REQ_CREDIT_BUREAU_QRT,10134.911714553833,1
AMT_REQ_CREDIT_BUREAU_YEAR,6067.410697937012,1
