feature,coef,fold
CNT_CHILDREN,0.014881187783977087,1
AMT_INCOME_TOTAL,0.046210363101091244,1
AMT_CREDIT,0.8635722257202799,1
AMT_ANNUITY,0.09691315657363163,1
AMT_GOODS_PRICE,-0.9384106594516237,1
REGION_POPULATION_RELATIVE,0.029179618119726414,1
DAYS_BIRTH,0.04223234448057481,1
DAYS_EMPLOYED,0.07583063956677293,1
DAYS_REGISTRATION,0.03369616734591505,1
DAYS_ID_PUBLISH,0.059479571295231314,1
OWN_CAR_AGE,0.12365513248067418,1
FLAG_MOBIL,0.0,1
FLAG_EMP_PHONE,0.038054220033449215,1
FLAG_WORK_PHONE,0.0577596658154426,1
FLAG_CONT_MOBILE,-0.00741134719299862,1
FLAG_PHONE,-0.0399184330705347,1
FLAG_EMAIL,-0.018722259283373597,1
CNT_FAM_MEMBERS,-0.005615171008788664,1
REGION_RATING_CLIENT,-0.02606769775731583,1
REGION_RATING_CLIENT_W_CITY,0.11577191651598193,1
HOUR_APPR_PROCESS_START,-0.008199650359530049,1
REG_REGION_NOT_LIVE_REGION,-0.036303315618768435,1
REG_REGION_NOT_WORK_REGION,0.031215299901408863,1
LIVE_REGION_NOT_WORK_REGION,-0.029026631124305605,1
REG_CITY_NOT_LIVE_CITY,0.04526811925371415,1
REG_CITY_NOT_WORK_CITY,-0.007348774989454475,1
LIVE_CITY_NOT_WORK_CITY,0.004869819175332149,1
EXT_SOURCE_1,-0.07186291190588036,1
EXT_SOURCE_2,-0.3839146957136027,1
EXT_SOURCE_3,-0.39101700626276203,1
APARTMENTS_AVG,-0.004971620722749814,1
BASEMENTAREA_AVG,-0.006980704321462883,1
YEARS_BEGINEXPLUATATION_AVG,0.02684606258276441,1
YEARS_BUILD_AVG,-0.027880282844575804,1
COMMONAREA_AVG,0.004197943715224781,1
ELEVATORS_AVG,-0.0006530188145454808,1
ENTRANCES_AVG,-0.013358450736424395,1
FLOORSMAX_AVG,0.028368805147213825,1
FLOORSMIN_AVG,0.024346940474325923,1
LANDAREA_AVG,0.004930634476883215,1
LIVINGAPARTMENTS_AVG,-0.01740981796332779,1
LIVINGAREA_AVG,0.022451546266935133,1
NONLIVINGAPARTMENTS_AVG,0.005442759795137689,1
NONLIVINGAREA_AVG,-0.008078749394458294,1
APARTMENTS_MODE,-0.005027636525619492,1
BASEMENTAREA_MODE,-0.006840710145407109,1
YEARS_BEGINEXPLUATATION_MODE,-0.031493580314639905,1
YEARS_BUILD_MODE,-0.02785812036632214,1
COMMONAREA_MODE,0.004290449314568942,1
ELEVATORS_MODE,-0.0005031999833844203,1
ENTRANCES_MODE,-0.01327667279556981,1
FLOORSMAX_MODE,0.019395220857764246,1
FLOORSMIN_MODE,0.02447527684557037,1
LANDAREA_MODE,0.004892621084497509,1
LIVINGAPARTMENTS_MODE,-0.01742567392031697,1
LIVINGAREA_MODE,0.022427843269807148,1
NONLIVINGAPARTMENTS_MODE,0.005516772206954749,1
NONLIVINGAREA_MODE,-0.008131688890837735,1
APARTMENTS_MEDI,-0.005053948523920267,1
BASEMENTAREA_MEDI,-0.006920739955380084,1
YEARS_BEGINEXPLUATATION_MEDI,-0.007978830124218838,1
YEARS_BUILD_MEDI,-0.02791621387329408,1
COMMONAREA_MEDI,0.004181690147642964,1
ELEVATORS_MEDI,-0.0006695007323571207,1
ENTRANCES_MEDI,-0.013365436377467597,1
FLOORSMAX_MEDI,-0.08058250835308492,1
FLOORSMIN_MEDI,0.024352301077213118,1
LANDAREA_MEDI,0.0048502602919859245,1
LIVINGAPARTMENTS_MEDI,-0.017413172999618132,1
LIVINGAREA_MEDI,0.022409110982724925,1
NONLIVINGAPARTMENTS_MEDI,0.00546013752845282,1
NONLIVINGAREA_MEDI,-0.00814444942143479,1
TOTALAREA_MODE,0.012075878215200612,1
OBS_30_CNT_SOCIAL_CIRCLE,0.08185770510625032,1
DEF_30_CNT_SOCIAL_CIRCLE,0.045535876267600875,1
OBS_60_CNT_SOCIAL_CIRCLE,-0.08588958378326478,1
DEF_60_CNT_SOCIAL_CIRCLE,0.03529850926655926,1
DAYS_LAST_PHONE_CHANGE,0.05524391277220124,1
FLAG_DOCUMENT_2,0.010474834955978805,1
FLAG_DOCUMENT_3,0.20719058115027636,1
FLAG_DOCUMENT_4,-0.055245956562258024,1
FLAG_DOCUMENT_5,0.04348818085775072,1
FLAG_DOCUMENT_6,0.1322391614163523,1
FLAG_DOCUMENT_7,0.0022196817337954517,1
FLAG_DOCUMENT_8,0.07211808351434885,1
FLAG_DOCUMENT_9,0.006951137685248524,1
FLAG_DOCUMENT_10,-0.0374436761625214,1
FLAG_DOCUMENT_11,-0.0035160410567338235,1
FLAG_DOCUMENT_12,-0.014217364214590373,1
FLAG_DOCUMENT_13,-0.04668002672777827,1
FLAG_DOCUMENT_14,-0.02505316829602335,1
FLAG_DOCUMENT_15,-0.03304267217891452,1
FLAG_DOCUMENT_16,-0.03429608468867907,1
FLAG_DOCUMENT_17,-0.008590907844292932,1
FLAG_DOCUMENT_18,-0.041312449734429754,1
FLAG_DOCUMENT_19,-0.007539676283268699,1
FLAG_DOCUMENT_20,0.011047075211518242,1
FLAG_DOCUMENT_21,0.001334382424691253,1
AMT_REQ_CREDIT_BUREAU_HOUR,-0.008245520024994882,1
AMT_REQ_CREDIT_BUREAU_DAY,0.013468678103336329,1
AMT_REQ_CREDIT_BUREAU_WEEK,-0.01448033432680566,1
AMT_REQ_CREDIT_BUREAU_MON,-0.023901791913691378,1
AMT_REQ_CREDIT_BUREAU_QRT,-0.043787887296322624,1
AMT_REQ_CREDIT_BUREAU_YEAR,-0.021208493605946538,1
AMT_ANNUITY_NA,-0.0444475138352809,1
AMT_GOODS_PRICE_NA,0.025288914649393347,1
AGE_YEARS,-0.033183168892812365,1
CREDIT_INCOME_RATIO,0.009359080852466447,1
BUREAU_AMT_CREDIT_SUM_SUM,-0.1330968402249087,1
BUREAU_AMT_CREDIT_SUM_MEAN,0.06928485541683996,1
BUREAU_AMT_CREDIT_SUM_MAX,0.05789056219948458,1
BUREAU_AMT_CREDIT_SUM_MIN,-0.06469444677858681,1
BUREAU_AMT_CREDIT_SUM_STD,-0.10473553061734706,1
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.26819131861013085,1
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,-0.10509805802408997,1
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,-0.34047138390564324,1
BUREAU_AMT_CREDIT_SUM_DEBT_MIN,0.1213941155218208,1
BUREAU_AMT_CREDIT_SUM_DEBT_STD,0.18824025638768374,1
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,0.003782443431332902,1
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,0.03162924121936416,1
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,0.03771525418170254,1
BUREAU_AMT_CREDIT_SUM_LIMIT_MIN,-0.05792177962926343,1
BUREAU_AMT_CREDIT_SUM_LIMIT_STD,-0.1320869836223557,1
BUREAU_AMT_ANNUITY_SUM,-0.0278230734910182,1
BUREAU_AMT_ANNUITY_MEAN,0.02112632976291236,1
BUREAU_AMT_ANNUITY_MAX,0.0676771334575989,1
BUREAU_AMT_ANNUITY_MIN,-0.04246795210742546,1
BUREAU_AMT_ANNUITY_STD,-0.053548352438693325,1
BUREAU_CREDIT_ACTIVE_NUNIQUE,-0.012045219960363387,1
BUREAU_CREDIT_ACTIVE_<LAMBDA_0>,0.10959977510723988,1
PREV_AMT_ANNUITY_SUM,-0.1722161652340727,1
PREV_AMT_ANNUITY_MEAN,-0.05081714033801458,1
PREV_AMT_ANNUITY_MAX,-0.13533803794436666,1
PREV_AMT_ANNUITY_MIN,-0.031841843406486464,1
PREV_AMT_ANNUITY_STD,0.04294229495659944,1
PREV_AMT_APPLICATION_SUM,0.031018901420553985,1
PREV_AMT_APPLICATION_MEAN,0.0308591260856284,1
PREV_AMT_APPLICATION_MAX,0.07971146286507577,1
PREV_AMT_APPLICATION_MIN,-0.036759246882094705,1
PREV_AMT_APPLICATION_STD,-0.17636660796640308,1
PREV_AMT_CREDIT_SUM,0.05242337617748334,1
PREV_AMT_CREDIT_MEAN,0.0989865547764024,1
PREV_AMT_CREDIT_MAX,0.14146407250873888,1
PREV_AMT_CREDIT_MIN,-0.03492799057568327,1
PREV_AMT_CREDIT_STD,0.018731959071654637,1
PREV_AMT_DOWN_PAYMENT_SUM,-0.07190852297634355,1
PREV_AMT_DOWN_PAYMENT_MEAN,-0.10294301504315484,1
PREV_AMT_DOWN_PAYMENT_MAX,-0.1447297921147324,1
PREV_AMT_DOWN_PAYMENT_MIN,0.1574804043211757,1
PREV_AMT_DOWN_PAYMENT_STD,0.21279455878516668,1
PREV_NAME_CONTRACT_STATUS_<LAMBDA>,0.14578487158762146,1
PREV_DAYS_DECISION_MIN,0.05025535960823302,1
PREV_DAYS_DECISION_MAX,0.011961185831393759,1
INST_DAYS_LATE_MEAN,0.0014785276533241568,1
INST_DAYS_LATE_MAX,-0.011080415715763453,1
INST_DAYS_LATE_SUM,0.001737859959591347,1
INST_DAYS_LATE_STD,0.01575851354603893,1
INST_LATE_FLAG_SUM,0.001972494263159732,1
INST_LATE_FLAG_MEAN,0.19842734054512165,1
INST_AMT_PAYMENT_SUM,-0.01865609242144288,1
INST_AMT_PAYMENT_MEAN,-0.03721193138000694,1
INST_AMT_PAYMENT_MAX,0.13619821049175107,1
CC_CC_UTIL_MEAN,0.007169428981559379,1
CC_CC_UTIL_MAX,-0.01842392041250804,1
CC_CC_UTIL_STD,-9.55322522896567e-05,1
CC_AMT_BALANCE_MEAN,0.07009529613597736,1
CC_AMT_BALANCE_MAX,0.05999371327027737,1
CC_SK_ID_PREV_NUNIQUE,0.013919444316918467,1
CC_SK_ID_PREV_COUNT,-0.047307362668100594,1
POS_MONTHS_BALANCE_MIN,0.10392488840422914,1
POS_MONTHS_BALANCE_MAX,-0.08785743357884772,1
POS_MONTHS_BALANCE_COUNT,0.041107648667417826,1
POS_NAME_CONTRACT_STATUS_<LAMBDA>,-0.04368532131672868,1
